half_wavelength_mm, fcr_MPa, Pcr_kN
2420.0, 60.0978, 10.26039
2425.0, 59.8774, 10.22276
2430.0, 59.6584, 10.18536
2435.0, 59.4407, 10.14820
2440.0, 59.2243, 10.11126
2445.0, 59.0093, 10.07455
2450.0, 58.7956, 10.03806
2455.0, 58.5832, 10.00179
2460.0, 58.3720, 9.96574
2465.0, 58.1621, 9.92991
2470.0, 57.9535, 9.89429
2475.0, 57.7462, 9.85889
2480.0, 57.5400, 9.82370
2485.0, 57.3352, 9.78873
2490.0, 57.1315, 9.75396
2495.0, 56.9291, 9.71939
2500.0, 56.7278, 9.68503
