mode, Pcr_kN, Pcr_kips, fcr_MPa, fcr_ksi, class, rigid_body_fraction, webflange_corner_ratio, flangelip_corner_ratio, liptip_ratio, hole_energy_fraction, hole_displacement_ratio, web_halfwaves, liptip_halfwaves, liptip_halfwaves_seg1, liptip_halfwaves_seg2, global_description
145, 52.9392, 11.9012, 310.079, 44.9731, local, 0.185, 0.035, 0.070, 0.398, 0.099, 0.93, 10, 44, 22, 22, 
146, 53.0732, 11.9313, 310.864, 45.0870, local, 0.213, 0.043, 0.109, 0.470, 0.042, 0.32, 8, 21, 11, 11, 
147, 53.2762, 11.9770, 312.053, 45.2594, local, 0.540, 0.264, 0.499, 0.546, 0.176, 1.13, 12, 4, 2, 2, 
148, 53.3749, 11.9992, 312.631, 45.3433, local, 0.209, 0.059, 0.093, 0.503, 0.140, 0.74, 12, 53, 27, 27, 
149, 53.5527, 12.0391, 313.672, 45.4943, distortional, 0.400, 0.236, 0.751, 0.829, 0.095, 1.19, 11, 3, 2, 2, 
150, 53.6164, 12.0535, 314.046, 45.5485, local, 0.183, 0.040, 0.104, 0.382, 0.093, 0.77, 7, 58, 29, 29, 
151, 54.0347, 12.1475, 316.496, 45.9038, local, 0.220, 0.070, 0.120, 0.452, 0.076, 0.68, 13, 43, 22, 22, 
152, 54.0475, 12.1504, 316.570, 45.9147, local, 0.193, 0.036, 0.129, 0.448, 0.058, 0.51, 13, 40, 20, 20, 
153, 54.0981, 12.1617, 316.867, 45.9577, local, 0.195, 0.038, 0.105, 0.440, 0.052, 0.55, 29, 41, 21, 21, 
154, 54.5179, 12.2561, 319.326, 46.3143, distortional, 0.262, 0.211, 0.692, 0.724, 0.148, 1.19, 46, 6, 3, 3, 
155, 54.5908, 12.2725, 319.753, 46.3762, local, 0.189, 0.042, 0.112, 0.446, 0.109, 0.97, 7, 44, 22, 22, 
156, 54.9354, 12.3500, 321.771, 46.6690, local, 0.191, 0.036, 0.085, 0.417, 0.078, 0.60, 13, 42, 21, 21, 
157, 54.9694, 12.3576, 321.971, 46.6979, local, 0.181, 0.043, 0.075, 0.422, 0.091, 0.62, 9, 41, 21, 21, 
158, 55.0724, 12.3808, 322.573, 46.7853, local, 0.406, 0.322, 0.719, 0.821, 0.106, 1.03, 13, 3, 2, 2, 
